geneID	HS01	HS02	HS03	HS04	HS05	CL08	CL10	CL11	CL12	CL13
FNDC1	1.4050982193087502	1.5335666227321099	1.4865269626583586	3.4851628441862643	2.7415914540923256	5.391178902945201	7.096598994182594	5.247288289786753	5.235901224896658	6.3173426650126725
FOSL1	-1.0197204897660177	-1.758856196213806	-0.8153266199379544	-1.6390879371658813	0.6146661123635984	1.7381656426887129	1.203383565511176	1.3893509168077123	1.2420619467762122	1.2800340606837843
FOXA1	2.6238426790307003	0.7684856199107308	2.6114129434371156	1.3124322705727784	3.557336924058684	-0.960957286570164	-1.6187955977829176	-3.3433814244095283	-2.3720790243966015	-3.9461089875349753
FOXN1	4.650656085222397	4.016646543747837	3.9988173149806054	4.19356493029373	3.7000674081079032	1.3193029321877505	-2.4422200099431737	-1.7301621276366737	-0.5493018369453134	0.6331808706964875
FOXP2	4.905280990603255	4.426818730011549	5.381746788239154	5.1838801504027785	4.290056803954662	3.072600535452694	2.5666361971714733	2.1664428159667506	1.8542446580339182	2.253640582507166
FOXP3	-1.3827112580348533	-1.2571356902441346	-1.1424715162944095	-0.9813625804657873	-2.1738074215678522	1.3551747395448441	1.0430191655435508	0.7390090857148559	0.3269079902527159	1.9670654993277141
FOXQ1	5.491469129879636	4.810469371622711	4.9012051252336395	5.336982782751463	4.272921656525966	1.3328334412156357	-1.1641876497336197	-0.9862216057458425	-1.1767997538741286	0.6974729584975461
FPGT-TNNI3K	3.2255409000412403	3.2114562092499077	3.857722390304857	2.9887820871121744	1.4719661483197295	1.4914782228016137	-0.24689322318362145	0.6172991185043465	1.407557677107361	-0.16235189425177834
FPR1	0.29947127531928613	1.6101500189703324	0.8350293877448458	2.7773339379427227	0.6996878881935299	7.153794701214699	7.112025451513163	8.000296229100956	6.994364538373454	6.663315557340495
FPR2	-1.1646553360902712	0.056113790836448914	-0.47580710961224426	1.4221948390811197	-0.804631496395447	4.6258165832872775	6.111404598563769	6.567522890842236	5.762597677700996	5.155702517640069
FPR3	2.5088183666478154	4.144876969468974	3.3371218430476515	4.490772940045377	3.957129831982206	8.21944957851176	8.041140047136727	8.487656303229656	8.329699940060786	8.51503756053383
FREM2	4.535498797610733	3.9663194009702805	4.239731164879621	3.3181078590426263	3.5569751259739824	2.0327034636032346	-1.3919522258604937	-1.5387307215648063	-2.190827666376027	-1.1591999405671893
FRG2HP	2.2137921270586762	2.5430935260391503	2.7994465902218426	2.7804170881846635	1.5345994765712738	-0.25160656400519943	-5.8850949667043615	-6.015597180748041	-3.1329266581351276	-2.8309424253400204
FRZB	5.041279956789017	4.0499099641770115	4.479962078015554	3.910031138854806	3.2893661670361065	2.20868908089515	1.3182452701553342	-0.4761686164675784	0.3225531066042923	0.5880095232117959
FSD1	-1.1604135908137605	-3.565883333377759	-1.8580956038778487	-2.0066701194035406	-2.1738074215678522	0.7738292716922365	0.6091617099648978	0.5302969482320782	0.9613496840357745	0.3236374730858804
FSTL4	2.6168731613239613	4.185547250573486	3.1540078372917932	2.5933057761473313	3.171801985756384	1.0515914950175427	1.0110655530099861	1.6464397706338936	0.5646962059380459	1.414751702212591
FTL	8.740499272604291	9.960052577622376	10.22423295414453	10.572440622600814	9.600106229848905	12.865394333100296	12.030108937709477	12.307396021866566	12.532135179506808	12.063490227453851
FUOM	1.5770985632706391	1.8715633783384429	1.7684290921252195	1.882879958599342	2.0379383245956983	4.439628499524086	3.7016756088258944	4.34198771985592	4.324517908275285	3.464401746284532
FUT7	-1.7283939873623888	-1.860000219815459	-2.8058916412061143	-0.9748458182616673	1.0926588364891665	2.796983447354276	3.109547782600377	2.9780795384602197	3.7910261143462542	2.602615557493105
